word,Soviet Union,France,Britain,Italy,Catalunya,cost in €
demografić,1,1,1,1,0
baixa natalidat,1,0,0,0,0
aportacions migratories,0,0,0,1,0
invasio massa,1,0,0,1,0
purificar,1,1,1,1,0
esperma recomendado,1,1,0,1,0
acelerar,1,1,0,1,0
la higiene social,0,1,1,1,0
talento para inseminari,1,1,0,0,0
quality improvement,1,1,1,1,0
body beauty,1,1,1,1,0
problema demografico,1,1,1,1,0
biotipo,0,0,1,0,0
body structure,0,1,1,1,0
poblacion envejecia,0,1,1,1,0
superviviencia,1,1,0,1,0
poblaciones no blancas,1,1,1,1,0
el imperio britanico,0,1,1,1,0
futuro sombrio,1,1,0,1,0
xxxx,1,1,0,1,0
xxxx,0,0,1,1,0
xxxx,1,1,1,1,0
xxxx,0,1,0,1,0
xxxx,0,0,1,1,0
xxxx,0,1,0,1,0
xxxx,0,0,1,0,0
xxxx,0,0,1,0,0
xxxx,1,1,0,1,0
xxxx,0,0,0,1,0
xxxx,0,1,0,1,0
xxxx,1,1,0,1,0
xxxx,1,1,1,1,0
xxxx,0,1,1,0,0
xxxx,0,0,1,1,0
xxxx,0,0,1,1,0
xxxx,1,1,1,1,0
xxxx,0,0,1,1,0
xxxx,1,1,0,1,0
xxxx,1,1,0,1,0
xxxx,1,1,0,1,0
xxxx,1,1,0,1,0
xxxx,1,1,0,1,0
xxxx,0,0,1,1,0
xxxx,1,1,1,1,0
